"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","DATA_MAP_TEMPLATE_VOD__C","DATA_MAP_TEMPLATE_VOD__R.NAME","VOD_FIELD_VOD__C","COLUMN_NUMBER_VOD__C"
"a0mU000000fcyHWIAY","false","F-000004546","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQwIAM","RX_MONTH_PAYER_CNT_NRX","Data_Channel_vod__c","17"
"a0mU000000fcyHXIAY","false","F-000004547","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQwIAM","RX_MONTH_PAYER_CNT_NRX","B1_vod__c","18"
"a0mU000000fcySuIAI","false","F-000004636","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","4"
"a0mU000000fcySvIAI","false","F-000004637","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","5"
"a0mU000000fcySwIAI","false","F-000004638","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","Zip_vod__c","6"
"a0mU000000fcySxIAI","false","F-000004639","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","7"
"a0mU000000fcySyIAI","false","F-000004640","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","8"
"a0mU000000fcySzIAI","false","F-000004641","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","Market_vod__c","9"
"a0mU000000fcyT0IAI","false","F-000004642","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","10"
"a0mU000000fcyT1IAI","false","F-000004643","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","005U0000000nwrsIAA","2014-08-16T02:46:17.000Z","true","false","a0nU0000003vWQsIAM","RX_MONTH_QTY_NRX","","11"
