"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","COLUMN_LABEL_VOD__C","PAYER_PLAN_MAPPED_VOD__C","ACTIVE_VOD__C","BUCKETS_VOD__C","COLUMN_LABELS_INCLUDED_VOD__C","SCALE_VOD__C","TERRITORY_NAMES_INCLUDED_VOD__C","MARKETS_MAPPED_VOD__C","SECOND_COLUMN_LABEL_VOD__C","FORMULARY_FOR_REP_LABEL_VOD__C","OVERRIDE_ACCOUNT_THRESHOLD_VOD__C","DECIMAL_PLACES_VOD__C","CONTAINS_GOALS_VOD__C","INCREMENTAL_LOAD_TYPE_VOD__C","INCREMENTAL_VOD__C","ENABLE_FOR_OFFLINE_VOD__C"
"a0nU0000003vWR6IAM","005U0000000nwrsIAA","false","RX_MONTH_PAYER_QTY_NRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","NRx Monthly Units","true","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQrIAM","005U0000000nwrsIAA","false","DDD_WEEK_UNITS","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","DDD Weekly Units","false","true","53.0","false","Week_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR5IAM","005U0000000nwrsIAA","false","RX_MONTH_QTY_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Monthly Units","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQqIAM","005U0000000nwrsIAA","false","DDD_MONTH_DLLRS","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","DDD Monthly Dollars","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQzIAM","005U0000000nwrsIAA","false","RX_MONTH_PAYER_QTY_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Monthly Units","true","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR7IAM","005U0000000nwrsIAA","false","RX_MONTH_PAYER_CNT_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Monthly Scripts","true","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR0IAM","005U0000000nwrsIAA","false","RX_MONTH_DLLRS_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Monthly Dollars","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQuIAM","005U0000000nwrsIAA","false","DDD_WEEK_DLLRS","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","DDD Weekly Dollars","false","true","53.0","false","Week_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQxIAM","005U0000000nwrsIAA","false","RX_WEEK_CNT_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Weekly Scripts","false","true","53.0","false","Week_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQtIAM","005U0000000nwrsIAA","false","DDD_MONTH_UNITS","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","DDD Monthly Units","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR1IAM","005U0000000nwrsIAA","false","RX_MONTH_DLLRS_NRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","NRx Monthly Dollars","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQyIAM","005U0000000nwrsIAA","false","RX_WEEK_CNT_NRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","NRx Weekly Scripts","false","true","53.0","false","Week_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR3IAM","005U0000000nwrsIAA","false","RX_MONTH_PAYER_DLLRS_NRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","NRx Monthly Dollars","true","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWR2IAM","005U0000000nwrsIAA","false","RX_MONTH_CNT_TRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","TRx Monthly Scripts","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
"a0nU0000003vWQsIAM","005U0000000nwrsIAA","false","RX_MONTH_QTY_NRX","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","005U0000000nwrsIAA","2014-08-16T02:40:40.000Z","true","false","","","NRx Monthly Units","false","true","24.0","false","Month_vod","false","true","","","true","2.0","false","","false","false"
