"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","CATEGORY_VOD__C","LANGUAGE_VOD__C","TEXT_VOD__C","EXTERNAL_ID_VOD__C","ACTIVE_VOD__C","DESCRIPTION_VOD__C","TYPE_VOD__C"
"a0ZU0000000LkohMAC","005U0000000XLdfIAG","false","BLOCK_MSG","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","BlockPage","en_US","You may not directly edit or delete any child objects of a call.","BlockPage-BLOCK_MSG-en_US","true","String used by application. Default is: You may not directly edit or delete any child objects of a call.","Label_vod"
"a0ZU0000000LkoiMAC","005U0000000XLdfIAG","false","BLOCK_SUB_TITLE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","BlockPage","en_US","Action not allowed.","BlockPage-BLOCK_SUB_TITLE-en_US","true","String used by application. Default is: Action not allowed.","Label_vod"
"a0ZU0000000LkojMAC","005U0000000XLdfIAG","false","BLOCK_TITLE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","BlockPage","en_US","Error","BlockPage-BLOCK_TITLE-en_US","true","String used by application. Default is: Error","Label_vod"
"a0ZU0000000LkokMAC","005U0000000XLdfIAG","false","Add pre-call notes.","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Add pre-call notes.","Callplan-Add pre-call notes.-en_US","true","String used by application. Default is: Add pre-call notes.","Label_vod"
"a0ZU0000000LkolMAC","005U0000000XLdfIAG","false","Call","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Activity","Callplan-Call-en_US","true","String used by application. Default is: Activity","Label_vod"
"a0ZU0000000LkomMAC","005U0000000XLdfIAG","false","Calls This Week","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Activities This Week","Callplan-Calls This Week-en_US","true","String used by application. Default is: Activities This Week","Label_vod"
"a0ZU0000000LkonMAC","005U0000000XLdfIAG","false","Calls Today","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Activities Today","Callplan-Calls Today-en_US","true","String used by application. Default is: Activities Today","Label_vod"
"a0ZU0000000LkooMAC","005U0000000XLdfIAG","false","Calls Tomorrow","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Activities Tomorrow","Callplan-Calls Tomorrow-en_US","true","String used by application. Default is: Activities Tomorrow","Label_vod"
"a0ZU0000000LkopMAC","005U0000000XLdfIAG","false","Calls","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Activities","Callplan-Calls-en_US","true","String used by application. Default is: Activities","Label_vod"
"a0ZU0000000LkoqMAC","005U0000000XLdfIAG","false","Copy","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Copy","Callplan-Copy-en_US","true","String used by application. Default is: Copy","Label_vod"
