"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_MRK__C","PARENT_RULE_ID_MRK__C","PROFILE_MRK__C","RECORD_TYPE_NAME_MRK__C","SALES_TEAM_MRK__C","TERRITORY_MRK__C","TERRITORY_NAME_MRK__C","USER_MRK__C"
"a3NU0000000H0mKMAS","005U0000000YGi8IAG","false","20","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxk5IAA"
"a3NU0000000H0mLMAS","005U0000000YGi8IAG","false","21","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-09-16T17:03:39.000Z","005U0000000YGi8IAG","2014-09-16T17:03:39.000Z","true","false","","","false","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hzHLIAY"
"a3NU0000000H0mMMAS","005U0000000YGi8IAG","false","22","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hzIBIAY"
"a3NU0000000H0mNMAS","005U0000000YGi8IAG","false","23","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-10-07T14:44:14.000Z","005U0000000pD4vIAE","2014-10-07T14:44:14.000Z","true","false","","","false","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxDNIAY"
"a3NU0000000H0mOMAS","005U0000000YGi8IAG","false","24","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxstIAA"
"a3NU0000000H0mPMAS","005U0000000YGi8IAG","false","25","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-09-03T18:42:26.000Z","005U0000000pD4vIAE","2014-09-03T18:42:26.000Z","true","false","","","false","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hy9uIAA"
"a3NU0000000H0mQMAS","005U0000000YGi8IAG","false","26","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hx5GIAQ"
"a3NU0000000H0mRMAS","005U0000000YGi8IAG","false","27","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hy0GIAQ"
"a3NU0000000H0mSMAS","005U0000000YGi8IAG","false","28","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxXFIAY"
"a3NU0000000H0mTMAS","005U0000000YGi8IAG","false","29","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxRZIAY"
"a3NU0000000H0mUMAS","005U0000000YGi8IAG","false","30","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxWeIAI"
"a3NU0000000H0mVMAS","005U0000000YGi8IAG","false","31","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxpZIAQ"
"a3NU0000000H0mWMAS","005U0000000YGi8IAG","false","32","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxyOIAQ"
"a3NU0000000H0mXMAS","005U0000000YGi8IAG","false","33","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hyD0IAI"
"a3NU0000000H0mYMAS","005U0000000YGi8IAG","false","34","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-08-16T15:30:49.000Z","true","false","","","true","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxIyIAI"
"a3NU0000000H0mZMAS","005U0000000YGi8IAG","false","35","012U0000000a994IAA","2014-08-16T15:30:49.000Z","005U0000000YGi8IAG","2014-10-07T14:44:14.000Z","005U0000000pD4vIAE","2014-10-07T14:44:14.000Z","true","false","","","false","","MRK - Communication User","MRK_RULE_PROFILE_OVERRIDE","","","","005U0000001hxZ1IAI"
