"ID","USERID","TERRITORYID","ISACTIVE","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP"
"04SU0000000gn4hMAA","005U0000000qKpVIAU","04TU0000000TSvVMAW","true","2012-05-29T15:27:57.000Z","005U0000000oxEdIAI","2012-05-29T15:27:57.000Z"
"04SU0000000gn4mMAA","005U0000000qKpVIAU","04TU0000000TWknMAG","true","2012-05-29T15:28:54.000Z","005U0000000oxEdIAI","2012-05-29T15:28:54.000Z"
"04SU0000000iSd9MAE","005U0000000s55XIAQ","04TU0000000TXyaMAG","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdBMAU","005U0000000s558IAA","04TU0000000TXy5MAG","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdCMAU","005U0000000s54mIAA","04TU0000000TXyXMAW","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdDMAU","005U0000000s54hIAA","04TU0000000TXyAMAW","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdEMAU","005U0000000s54gIAA","04TU0000000TXyQMAW","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdFMAU","005U0000000s54bIAA","04TU0000000TXxjMAG","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdGMAU","005U0000000s55QIAQ","04TU0000000TXxmMAG","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
"04SU0000000iSdHMAU","005U0000000s54rIAA","04TU0000000TXyRMAW","true","2012-11-08T02:32:19.000Z","005U0000000YGi8IAG","2012-11-08T02:32:19.000Z"
