"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_VOD__C","CHILD_OBJECT_NAME_VOD__C","CHILD_RELATIONSHIP_VOD__C","INCLUDE_RELATED_OBJECTS_VOD__C","OBJECT_NAME_VOD__C","PARENT_OBJECT_NAME_VOD__C","PROFILE_ID_VOD__C","RELATIONSHIP_FIELD_VOD__C","RELATIONSHIP_NAME_VOD__C","TYPE_VOD__C","WHERE_CLAUSE_VOD__C","PROFILE_NAME_VOD__C","META_DATA_ONLY_VOD__C","ACCOUNT_LOOKUP_FIELD_VOD__C","DEVICE_VOD__C","EXCLUDE_FIELD_LIST_VOD__C","FIELD_LIST_VOD__C","EXTERNAL_ID_VOD__C","INCLUDE_ATTACHMENTS_VOD__C","ENABLE_ENHANCED_SYNC_VOD__C","MRK_EXTERNAL_ID__C"
"a0xg0000007OmHCAA0","005U0000000XLdfIAG","false","TSM-0000731","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Folder","","","","","F","WHERE Type='Document'","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHDAA0","005U0000000XLdfIAG","false","TSM-0000732","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Survey_vod__c","","","","","T","WHERE Start_Date_vod__c <= TODAY AND (End_Date_vod__c = null OR (End_Date_vod__c  != null AND End_Date_vod__c >= TODAY) ) AND Status_vod__c = 'Published_vod'","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHEAA0","005U0000000XLdfIAG","false","TSM-0000733","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Survey_Target_vod__c","","","","","T","WHERE OwnerId = @@VOD_SF_USER_ID@@ AND Account_vod__r.Name != null AND Status_vod__c != 'Development_vod' AND Start_Date_vod__c <= TODAY","","false","Account_vod__c","WinModern_vod","","","","false","false",""
"a0xg0000007OmHFAA0","005U0000000XLdfIAG","false","TSM-0000734","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Survey_Question_vod__c","Survey_vod__c","","","Survey_Questions_vod__r","R","","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHGAA0","005U0000000XLdfIAG","false","TSM-0000735","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Sent_Fragment_vod__c","","","","","F","WHERE Account_vod__c IN (Select Id From Account) AND CreatedDate<=LAST_N_DAYS:120","","false","","iPad_vod","","","","false","false",""
"a0xg0000007OmHHAA0","005U0000000XLdfIAG","false","TSM-0000736","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Formulary_Products_vod__c","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xg0000007OmHIAA0","005U0000000XLdfIAG","false","TSM-0000737","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Benefit_Design_vod__c","","","","","T","WHERE Account_vod__r.Name != null","","false","Account_vod__c","iPad_vod","","","","false","false",""
"a0xg0000007OmHJAA0","005U0000000XLdfIAG","false","TSM-0000738","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Benefit_Design_Line_vod__c","Benefit_Design_vod__c","","","Benefit_Design_Line_vod__r","R","","","false","","iPad_vod","","","","false","false",""
"a0xg0000007OmHKAA0","005U0000000XLdfIAG","false","TSM-0000739","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Network_Reference_Mapping_vod__c","Network_Field_Mapping_vod__c","","","","F","","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHLAA0","005U0000000XLdfIAG","false","TSM-0000740","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Network_Object_Mapping_vod__c","","","","","F","where Network_mapping_vod__r.active_vod__c = true","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHMAA0","005U0000000XLdfIAG","false","TSM-0000741","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Network_Settings_vod__c","","","","","F","WHERE SetupOwnerId in (@@VOD_SF_PROFILEID@@, @@VOD_MY_ORGID@@)","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHNAA0","005U0000000XLdfIAG","false","TSM-0000742","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Network_Mapping_vod__c","","","","","F","where active_vod__c = true","","false","","WinModern_vod","","","","false","false",""
"a0xg0000007OmHOAA0","005U0000000XLdfIAG","false","TSM-0000743","012U0000000Iqc9IAC","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","005U0000000XLdfIAG","2014-11-07T00:27:13.000Z","true","false","","","false","","","false","Network_Field_Mapping_vod__c","","","","","F","where Network_Object_Mapping_vod__r.Network_mapping_vod__r.active_vod__c = true","","false","","WinModern_vod","","","","false","false",""
